"FSC-A","FSC-H","SSC-A","SSC-B-A","SSC-B-H","SSC-H","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-Cell Trace Violet-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-Viability eFluor780-A","Time"
1.39232e+06,978684,198387,280388,217268,166025,2769.49,-10177.1,3.23495e+06,42583.6,1591.29,4357.73,9966.88,13.1797
1.00289e+06,792289,154677,173279,145668,140069,1562.11,-6702.88,2.17052e+06,24091.5,1064.24,4025.1,6831.59,13.2441
1.21039e+06,959734,165370,229996,202471,154841,1574.66,-5735.32,2.07995e+06,27612.5,662.734,4301.44,7340.4,13.303
1.26218e+06,996307,146076,162556,139030,135677,1823.67,-5345.66,1.91429e+06,20423.4,1082.98,3094.34,5919.75,13.36
1.55885e+06,1.29741e+06,147507,204126,177908,131597,3567.87,-5972.41,2.77484e+06,33220.8,5347.29,4798.29,8545.22,13.3634
1.50501e+06,1.17189e+06,107395,154430,127638,97326,2375.45,-3678.47,1.74891e+06,31783.2,2696.88,3695.49,5600.43,13.3867
1.78732e+06,1.36228e+06,137975,187776,153154,118954,1673.81,-7797.28,2.43158e+06,21516.9,-462.64,3311.41,7664.56,13.4155
1.57311e+06,1.29334e+06,178151,217980,191061,164578,3148.06,-8863.22,2.98667e+06,30776.1,2563.63,4368.61,8971.44,13.4708
1.42652e+06,1.20035e+06,136994,196353,175962,125671,1903.74,-4592.42,1.63263e+06,24221.8,1363.8,3591.26,5019.96,13.5299
1.48172e+06,1.22997e+06,164362,332257,263957,140565,1668.91,-5432.75,1.96512e+06,20131,-621.513,3139.4,6723.06,13.6617
1.39857e+06,1.17325e+06,146929,194076,177298,138024,1793.69,-5502.86,2.02202e+06,25041,2956.79,3386.38,6744.71,13.974
1.32499e+06,1.09967e+06,108948,139349,119659,103086,2955.02,-6560.55,1.81921e+06,36374.8,-115.01,3030.35,5544.86,14.0138
1.51875e+06,1.30119e+06,178412,369097,260037,146962,2272.24,-3135.25,1.37964e+06,25529.1,627.014,3921.56,4070.13,14.044
1.43515e+06,1.11167e+06,188127,297920,251047,172096,1855.63,-4505.25,1.78588e+06,20774.3,2259.71,3365.75,4965.46,14.0584
1.52064e+06,1.30815e+06,131412,183124,177162,129869,2226.4,-5387.51,1.62306e+06,18186.6,-327.916,2941.49,4855.84,14.1154
1.04874e+06,822451,159211,210770,186470,147995,1682.55,-3819.61,1.54004e+06,24382.2,902.923,3875.64,5135.14,14.4957
1.17787e+06,930560,128384,194102,166723,118233,1706.69,-4467.21,1.53996e+06,28262.3,2454.51,4330.04,4823.87,14.594
